description,price,bioequivalent,image_url,chain,searched_drug
Generico Paracetamol 80 mg x 16 Comprimidos Masticables,2595,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/3/d/3de1435394c9bd5e5c0ae7365e6932f18e152415203fc303a4521255c78064a7.jpg,Farmacia Ahumada,paracetamol
Supracalm Supracalm 1 g x 20 Comprimidos Recubiertos,12795,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/c/e/ce41fb5dd9b31a2c2b8a922eae2c1f381f16eb21d402fe955b175d5244409260.jpg,Farmacia Ahumada,paracetamol
Gesidol Gesidol Paracetamol Bioe.1gr X 20comp,9795,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/6/d/6df2ed1e069cd22d39c396c2091bae241ecfa9c36e6ebf80d8cc9d8bb6517ed3.jpg,Farmacia Ahumada,paracetamol
Trio-Val Trioval x 10 Comprimidos Recubiertos,5595,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/3/0/305a025e1a0d1117f09931229ee3cd72507b3abc7e59e72fd9193fc588e02852.jpg,Farmacia Ahumada,paracetamol
Generico Paracetamol Infantil 125 mg x 6 Supositorios,1495,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/c/f/cf844173b735793bb5819a7417012ecf6dd40ab6773ed3cbadfe50165070438b.jpg,Farmacia Ahumada,paracetamol
Kitadol Kitadol 120 mg/5 mL x 60 mL Jarabe,10695,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/0/3/03d8bd2285248c50f02d0245ecdc847a784399be369e5494d7b065b6e139c9dc.jpg,Farmacia Ahumada,paracetamol
Kitadol Kitadol 100 mg/mL x 15 mL Solución Oral Para Gotas,3495,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/2/e/2ef36a0f443b484779cca45a1426c98613568038a3c6c50397f21280e1d438cb.jpg,Farmacia Ahumada,paracetamol
Trio-Val Trioval X 100 Ml Suspensión Oral,16895,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/9/2/928f240f8dc763ef1d17e6e681085db4719c585883aa083612dc53a9eeb33b0f.jpg,Farmacia Ahumada,paracetamol
Trio-Val Trioval X 15 Ml Suspensión Oral Para Gotas,17195,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/4/e/4e70786fc15dc8c4b2f8154b7e9653a1439e0f2ef6f21920e55d8b610dd3efe8.jpg,Farmacia Ahumada,paracetamol
"Cronus Cronus 325 mg/37,5 mg x 20 Comprimidos Recubiertos",20995,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/8/1/81694b8724a37686402938868d0527acb268d2b45bddfb32966c9b51c4f0b6b6.jpg,Farmacia Ahumada,paracetamol
Trio-Val Trioval Día-Noche x 3 Sobres Polvo para Solución Oral,3595,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/0/3/03faf5cc6aa971ef03c680366b1ed4a1b21dc695b0d6306538dbcf029b0e73a2.jpg,Farmacia Ahumada,paracetamol
Trio-Val Trioval Dia-Noche x 20 Comprimidos Recubiertos,5995,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/1/9/193f20e35d1b7f2aae8de3dae327580fec425191127a36a8e54da3dfa6983e83.jpg,Farmacia Ahumada,paracetamol
Dropol Dropol 1 g x 20 Comprimidos Efervescentes,8695,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/6/f/6fc471036cec32ae02ef65c14ff578863fbec4632cd46bc87a53dbfffcc6eba8.jpg,Farmacia Ahumada,paracetamol
