description,price,bioequivalent,image_url
PARACETAMOL VALMA 10% Gotas x 15ml,1590,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_200x.jpg?v=1653142674 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_300x.jpg?v=1653142674 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_400x.jpg?v=1653142674 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_500x.jpg?v=1653142674 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_600x.jpg?v=1653142674 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_700x.jpg?v=1653142674 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800044000270_PARACETAMOL_VALMA_10__GOTASX15ML_800x.jpg?v=1653142674 800w"
PARACETAMOL PASTEUR Gotas x 15ml,1590,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032707_PARACETAMOL_PASTEUR_GOTAS_X_15ML_200x.jpg?v=1651702527 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032707_PARACETAMOL_PASTEUR_GOTAS_X_15ML_300x.jpg?v=1651702527 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032707_PARACETAMOL_PASTEUR_GOTAS_X_15ML_400x.jpg?v=1651702527 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032707_PARACETAMOL_PASTEUR_GOTAS_X_15ML_500x.jpg?v=1651702527 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032707_PARACETAMOL_PASTEUR_GOTAS_X_15ML_600x.jpg?v=1651702527 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032707_PARACETAMOL_PASTEUR_GOTAS_X_15ML_700x.jpg?v=1651702527 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032707_PARACETAMOL_PASTEUR_GOTAS_X_15ML_800x.jpg?v=1651702527 800w"
PARACETAMOL 500mg Comp. x 16,790,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_200x.jpg?v=1655929186 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_300x.jpg?v=1655929186 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_400x.jpg?v=1655929186 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_500x.jpg?v=1655929186 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_600x.jpg?v=1655929186 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_700x.jpg?v=1655929186 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800018163338_PARACETAMOL_500mg_Compx16_800x.jpg?v=1655929186 800w"
PARACETAMOL 500mg Comp. x 16,790,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834228_PARACETAMOL_500MG_COMP_x_16_200x.jpg?v=1656013812 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834228_PARACETAMOL_500MG_COMP_x_16_300x.jpg?v=1656013812 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834228_PARACETAMOL_500MG_COMP_x_16_400x.jpg?v=1656013812 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834228_PARACETAMOL_500MG_COMP_x_16_500x.jpg?v=1656013812 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834228_PARACETAMOL_500MG_COMP_x_16_600x.jpg?v=1656013812 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834228_PARACETAMOL_500MG_COMP_x_16_700x.jpg?v=1656013812 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834228_PARACETAMOL_500MG_COMP_x_16_800x.jpg?v=1656013812 800w"
PARACETAMOL 500mg Comp. x 16,790,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620832828_PARACETAMOL_500MG_COMP_x_16_200x.jpg?v=1656013562 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620832828_PARACETAMOL_500MG_COMP_x_16_300x.jpg?v=1656013562 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620832828_PARACETAMOL_500MG_COMP_x_16_400x.jpg?v=1656013562 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620832828_PARACETAMOL_500MG_COMP_x_16_500x.jpg?v=1656013562 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620832828_PARACETAMOL_500MG_COMP_x_16_600x.jpg?v=1656013562 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620832828_PARACETAMOL_500MG_COMP_x_16_700x.jpg?v=1656013562 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620832828_PARACETAMOL_500MG_COMP_x_16_800x.jpg?v=1656013562 800w"
PARACETAMOL CHILE LAB. Inf. Gotas x 15ml,1590,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007140524_PARACETAMOLCHILE_LAB_Inf_Gotasx_15ml_200x.jpg?v=1656187612 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007140524_PARACETAMOLCHILE_LAB_Inf_Gotasx_15ml_300x.jpg?v=1656187612 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007140524_PARACETAMOLCHILE_LAB_Inf_Gotasx_15ml_400x.jpg?v=1656187612 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007140524_PARACETAMOLCHILE_LAB_Inf_Gotasx_15ml_500x.jpg?v=1656187612 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007140524_PARACETAMOLCHILE_LAB_Inf_Gotasx_15ml_600x.jpg?v=1656187612 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007140524_PARACETAMOLCHILE_LAB_Inf_Gotasx_15ml_700x.jpg?v=1656187612 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007140524_PARACETAMOLCHILE_LAB_Inf_Gotasx_15ml_800x.jpg?v=1656187612 800w"
TAPSIN PURO PARACETAMOL Est. Comp. x 24,1990,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507153_TAPSINPURO_PARACETAMOL_Est_Comp_x_24_200x.jpg?v=1661523252 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507153_TAPSINPURO_PARACETAMOL_Est_Comp_x_24_300x.jpg?v=1661523252 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507153_TAPSINPURO_PARACETAMOL_Est_Comp_x_24_400x.jpg?v=1661523252 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507153_TAPSINPURO_PARACETAMOL_Est_Comp_x_24_500x.jpg?v=1661523252 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507153_TAPSINPURO_PARACETAMOL_Est_Comp_x_24_600x.jpg?v=1661523252 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507153_TAPSINPURO_PARACETAMOL_Est_Comp_x_24_700x.jpg?v=1661523252 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507153_TAPSINPURO_PARACETAMOL_Est_Comp_x_24_800x.jpg?v=1661523252 800w"
PARACETAMOL CHILE LAB. Inf. 125mg Sup. x 6,1690,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007142658_PARACETAMOL_CHILE_LAB_INF_125MG_X6SUP_200x.jpg?v=1653142866 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007142658_PARACETAMOL_CHILE_LAB_INF_125MG_X6SUP_300x.jpg?v=1653142866 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007142658_PARACETAMOL_CHILE_LAB_INF_125MG_X6SUP_400x.jpg?v=1653142866 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007142658_PARACETAMOL_CHILE_LAB_INF_125MG_X6SUP_500x.jpg?v=1653142866 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007142658_PARACETAMOL_CHILE_LAB_INF_125MG_X6SUP_600x.jpg?v=1653142866 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007142658_PARACETAMOL_CHILE_LAB_INF_125MG_X6SUP_700x.jpg?v=1653142866 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007142658_PARACETAMOL_CHILE_LAB_INF_125MG_X6SUP_800x.jpg?v=1653142866 800w"
PARACETAMOL 80mg Comp. x 16,1390,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007803788_PARACETAMOL_COM_80MGX16_200x.jpg?v=1652716645 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007803788_PARACETAMOL_COM_80MGX16_300x.jpg?v=1652716645 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007803788_PARACETAMOL_COM_80MGX16_400x.jpg?v=1652716645 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007803788_PARACETAMOL_COM_80MGX16_500x.jpg?v=1652716645 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007803788_PARACETAMOL_COM_80MGX16_600x.jpg?v=1652716645 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007803788_PARACETAMOL_COM_80MGX16_700x.jpg?v=1652716645 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007803788_PARACETAMOL_COM_80MGX16_800x.jpg?v=1652716645 800w"
PARACETAMOL 80mg Comp. x 20,1390,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7012201812293_PARACETAMOL_80mg_Compx16_200x.jpg?v=1655946196 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7012201812293_PARACETAMOL_80mg_Compx16_300x.jpg?v=1655946196 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7012201812293_PARACETAMOL_80mg_Compx16_400x.jpg?v=1655946196 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7012201812293_PARACETAMOL_80mg_Compx16_500x.jpg?v=1655946196 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7012201812293_PARACETAMOL_80mg_Compx16_600x.jpg?v=1655946196 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7012201812293_PARACETAMOL_80mg_Compx16_700x.jpg?v=1655946196 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7012201812293_PARACETAMOL_80mg_Compx16_800x.jpg?v=1655946196 800w"
